ano,codep,departamento,codmpio,municipio,candidato,votos,codpartido
1994,68,SANTANDER,68001,BUCARAMANGA,MARIO CAMACHO PRADA,45403,1
1994,68,SANTANDER,68001,BUCARAMANGA,PLINIO EDUARDO SILVA MARIN,35404,1
1994,68,SANTANDER,68001,BUCARAMANGA,MARIO GONZALEZ VARGAS,23789,2
1994,68,SANTANDER,68001,BUCARAMANGA, VOTOS EN BLANCO ,4507,NA
1994,68,SANTANDER,68001,BUCARAMANGA, VOTOS NULOS ,7033,NA
1994,68,SANTANDER,68013,AGUADA,MARIO CAMACHO PRADA,137,1
1994,68,SANTANDER,68013,AGUADA,PLINIO EDUARDO SILVA MARIN,39,1
1994,68,SANTANDER,68013,AGUADA,MARIO GONZALEZ VARGAS,356,2
1994,68,SANTANDER,68013,AGUADA, VOTOS EN BLANCO ,7,NA
1994,68,SANTANDER,68013,AGUADA, VOTOS NULOS ,137,NA
1994,68,SANTANDER,68020,ALBANIA,MARIO CAMACHO PRADA,111,1
1994,68,SANTANDER,68020,ALBANIA,PLINIO EDUARDO SILVA MARIN,476,1
1994,68,SANTANDER,68020,ALBANIA,MARIO GONZALEZ VARGAS,1014,2
1994,68,SANTANDER,68020,ALBANIA, VOTOS EN BLANCO ,23,NA
1994,68,SANTANDER,68020,ALBANIA, VOTOS NULOS ,440,NA
1994,68,SANTANDER,68051,ARATOCA,MARIO CAMACHO PRADA,1173,1
1994,68,SANTANDER,68051,ARATOCA,PLINIO EDUARDO SILVA MARIN,836,1
1994,68,SANTANDER,68051,ARATOCA,MARIO GONZALEZ VARGAS,237,2
1994,68,SANTANDER,68051,ARATOCA, VOTOS EN BLANCO ,67,NA
1994,68,SANTANDER,68051,ARATOCA, VOTOS NULOS ,650,NA
1994,68,SANTANDER,68077,BARBOSA,MARIO CAMACHO PRADA,2469,1
1994,68,SANTANDER,68077,BARBOSA,PLINIO EDUARDO SILVA MARIN,1839,1
1994,68,SANTANDER,68077,BARBOSA,MARIO GONZALEZ VARGAS,1168,2
1994,68,SANTANDER,68077,BARBOSA, VOTOS EN BLANCO ,462,NA
1994,68,SANTANDER,68077,BARBOSA, VOTOS NULOS ,895,NA
1994,68,SANTANDER,68079,BARICHARA,MARIO CAMACHO PRADA,560,1
1994,68,SANTANDER,68079,BARICHARA,PLINIO EDUARDO SILVA MARIN,290,1
1994,68,SANTANDER,68079,BARICHARA,MARIO GONZALEZ VARGAS,1294,2
1994,68,SANTANDER,68079,BARICHARA, VOTOS EN BLANCO ,81,NA
1994,68,SANTANDER,68079,BARICHARA, VOTOS NULOS ,462,NA
1994,68,SANTANDER,68081,BARRANCABERMEJA,MARIO CAMACHO PRADA,16051,1
1994,68,SANTANDER,68081,BARRANCABERMEJA,PLINIO EDUARDO SILVA MARIN,9617,1
1994,68,SANTANDER,68081,BARRANCABERMEJA,MARIO GONZALEZ VARGAS,5633,2
1994,68,SANTANDER,68081,BARRANCABERMEJA, VOTOS EN BLANCO ,3189,NA
1994,68,SANTANDER,68081,BARRANCABERMEJA, VOTOS NULOS ,4900,NA
1994,68,SANTANDER,68092,BETULIA,MARIO CAMACHO PRADA,477,1
1994,68,SANTANDER,68092,BETULIA,PLINIO EDUARDO SILVA MARIN,79,1
1994,68,SANTANDER,68092,BETULIA,MARIO GONZALEZ VARGAS,337,2
1994,68,SANTANDER,68092,BETULIA, VOTOS EN BLANCO ,38,NA
1994,68,SANTANDER,68092,BETULIA, VOTOS NULOS ,203,NA
1994,68,SANTANDER,68101,BOLÍVAR,MARIO CAMACHO PRADA,80,1
1994,68,SANTANDER,68101,BOLÍVAR,PLINIO EDUARDO SILVA MARIN,957,1
1994,68,SANTANDER,68101,BOLÍVAR,MARIO GONZALEZ VARGAS,2776,2
